gen pop popSize replicate sampleSize region pi
55960 p1 14474 1 100 r1 0.000886711
55960 p1 14474 1 100 r2 0.000708832
55960 p2 1861 1 100 r1 0.000890331
55960 p2 1861 1 100 r2 0.000742432
55960 p1 14474 2 100 r1 0.000893297
55960 p1 14474 2 100 r2 0.000721442
55960 p2 1861 2 100 r1 0.000914263
55960 p2 1861 2 100 r2 0.000729358
55960 p1 14474 3 100 r1 0.000903919
55960 p1 14474 3 100 r2 0.000742497
55960 p2 1861 3 100 r1 0.00091642
55960 p2 1861 3 100 r2 0.000675471
55960 p1 14474 4 100 r1 0.000891648
55960 p1 14474 4 100 r2 0.000712521
55960 p2 1861 4 100 r1 0.000873204
55960 p2 1861 4 100 r2 0.000715798
55960 p1 14474 5 100 r1 0.000897713
55960 p1 14474 5 100 r2 0.000711632
55960 p2 1861 5 100 r1 0.000868731
55960 p2 1861 5 100 r2 0.000759325
55960 p1 14474 6 100 r1 0.000900251
55960 p1 14474 6 100 r2 0.000711499
55960 p2 1861 6 100 r1 0.000887309
55960 p2 1861 6 100 r2 0.000714053
55960 p1 14474 7 100 r1 0.000888663
55960 p1 14474 7 100 r2 0.000725964
55960 p2 1861 7 100 r1 0.000886525
55960 p2 1861 7 100 r2 0.000739491
55960 p1 14474 8 100 r1 0.000886065
55960 p1 14474 8 100 r2 0.000742242
55960 p2 1861 8 100 r1 0.000886731
55960 p2 1861 8 100 r2 0.000682093
55960 p1 14474 9 100 r1 0.000872303
55960 p1 14474 9 100 r2 0.000770776
55960 p2 1861 9 100 r1 0.0008656
55960 p2 1861 9 100 r2 0.00071857
55960 p1 14474 10 100 r1 0.000880444
55960 p1 14474 10 100 r2 0.000730913
55960 p2 1861 10 100 r1 0.000898857
55960 p2 1861 10 100 r2 0.000713754
55960 p1 14474 11 100 r1 0.000868776
55960 p1 14474 11 100 r2 0.000734853
55960 p2 1861 11 100 r1 0.000868053
55960 p2 1861 11 100 r2 0.000705398
55960 p1 14474 12 100 r1 0.000906166
55960 p1 14474 12 100 r2 0.000748457
55960 p2 1861 12 100 r1 0.000896869
55960 p2 1861 12 100 r2 0.000719087
55960 p1 14474 13 100 r1 0.000882727
55960 p1 14474 13 100 r2 0.000764493
55960 p2 1861 13 100 r1 0.000853131
55960 p2 1861 13 100 r2 0.000700772
55960 p1 14474 14 100 r1 0.000873426
55960 p1 14474 14 100 r2 0.000688792
55960 p2 1861 14 100 r1 0.000875269
55960 p2 1861 14 100 r2 0.000695673
55960 p1 14474 15 100 r1 0.000883871
55960 p1 14474 15 100 r2 0.000698505
55960 p2 1861 15 100 r1 0.000892113
55960 p2 1861 15 100 r2 0.000729596
55960 p1 14474 16 100 r1 0.000862246
55960 p1 14474 16 100 r2 0.000688141
55960 p2 1861 16 100 r1 0.000906287
55960 p2 1861 16 100 r2 0.000724651
55960 p1 14474 17 100 r1 0.000903257
55960 p1 14474 17 100 r2 0.000693455
55960 p2 1861 17 100 r1 0.000885604
55960 p2 1861 17 100 r2 0.000741107
55960 p1 14474 18 100 r1 0.000917014
55960 p1 14474 18 100 r2 0.000741277
55960 p2 1861 18 100 r1 0.000897988
55960 p2 1861 18 100 r2 0.000710683
55960 p1 14474 19 100 r1 0.000860251
55960 p1 14474 19 100 r2 0.000726206
55960 p2 1861 19 100 r1 0.000874869
55960 p2 1861 19 100 r2 0.000736315
55960 p1 14474 20 100 r1 0.000905236
55960 p1 14474 20 100 r2 0.000719321
55960 p2 1861 20 100 r1 0.000881293
55960 p2 1861 20 100 r2 0.000693297
55960 p1 14474 21 100 r1 0.000874861
55960 p1 14474 21 100 r2 0.00072141
55960 p2 1861 21 100 r1 0.000890444
55960 p2 1861 21 100 r2 0.000693737
55960 p1 14474 22 100 r1 0.000877851
55960 p1 14474 22 100 r2 0.000708764
55960 p2 1861 22 100 r1 0.000880259
55960 p2 1861 22 100 r2 0.000723087
55960 p1 14474 23 100 r1 0.000885822
55960 p1 14474 23 100 r2 0.000654133
55960 p2 1861 23 100 r1 0.000887624
55960 p2 1861 23 100 r2 0.00070322
55960 p1 14474 24 100 r1 0.000870412
55960 p1 14474 24 100 r2 0.000717657
55960 p2 1861 24 100 r1 0.000904909
55960 p2 1861 24 100 r2 0.000724154
55960 p1 14474 25 100 r1 0.000857459
55960 p1 14474 25 100 r2 0.000736836
55960 p2 1861 25 100 r1 0.0008792
55960 p2 1861 25 100 r2 0.00070861
55960 p1 14474 26 100 r1 0.000886376
55960 p1 14474 26 100 r2 0.000733394
55960 p2 1861 26 100 r1 0.000891349
55960 p2 1861 26 100 r2 0.00071762
55960 p1 14474 27 100 r1 0.000893442
55960 p1 14474 27 100 r2 0.000736469
55960 p2 1861 27 100 r1 0.00088402
55960 p2 1861 27 100 r2 0.000706416
55960 p1 14474 28 100 r1 0.000879556
55960 p1 14474 28 100 r2 0.000753802
55960 p2 1861 28 100 r1 0.000922921
55960 p2 1861 28 100 r2 0.000739301
55960 p1 14474 29 100 r1 0.000898129
55960 p1 14474 29 100 r2 0.000709701
55960 p2 1861 29 100 r1 0.000898901
55960 p2 1861 29 100 r2 0.00069779
55960 p1 14474 30 100 r1 0.000878251
55960 p1 14474 30 100 r2 0.000729681
55960 p2 1861 30 100 r1 0.000897277
55960 p2 1861 30 100 r2 0.00069497
55960 p1 14474 31 100 r1 0.000878505
55960 p1 14474 31 100 r2 0.000727087
55960 p2 1861 31 100 r1 0.000880283
55960 p2 1861 31 100 r2 0.000688844
55960 p1 14474 32 100 r1 0.000871681
55960 p1 14474 32 100 r2 0.000666679
55960 p2 1861 32 100 r1 0.00089962
55960 p2 1861 32 100 r2 0.000762085
55960 p1 14474 33 100 r1 0.000884271
55960 p1 14474 33 100 r2 0.000748752
55960 p2 1861 33 100 r1 0.000893434
55960 p2 1861 33 100 r2 0.000726275
55960 p1 14474 34 100 r1 0.000893358
55960 p1 14474 34 100 r2 0.000756885
55960 p2 1861 34 100 r1 0.000887212
55960 p2 1861 34 100 r2 0.00073297
55960 p1 14474 35 100 r1 0.000921374
55960 p1 14474 35 100 r2 0.00070316
55960 p2 1861 35 100 r1 0.000883055
55960 p2 1861 35 100 r2 0.000707762
55960 p1 14474 36 100 r1 0.000912865
55960 p1 14474 36 100 r2 0.000712012
55960 p2 1861 36 100 r1 0.000884646
55960 p2 1861 36 100 r2 0.000739766
55960 p1 14474 37 100 r1 0.000883475
55960 p1 14474 37 100 r2 0.000701208
55960 p2 1861 37 100 r1 0.000900861
55960 p2 1861 37 100 r2 0.000693935
55960 p1 14474 38 100 r1 0.00089484
55960 p1 14474 38 100 r2 0.000729196
55960 p2 1861 38 100 r1 0.000871576
55960 p2 1861 38 100 r2 0.00068204
55960 p1 14474 39 100 r1 0.000868638
55960 p1 14474 39 100 r2 0.000676574
55960 p2 1861 39 100 r1 0.000878784
55960 p2 1861 39 100 r2 0.000679434
55960 p1 14474 40 100 r1 0.000901867
55960 p1 14474 40 100 r2 0.000746768
55960 p2 1861 40 100 r1 0.000898929
55960 p2 1861 40 100 r2 0.000743927
55960 p1 14474 41 100 r1 0.000894428
55960 p1 14474 41 100 r2 0.000715782
55960 p2 1861 41 100 r1 0.000889758
55960 p2 1861 41 100 r2 0.000729673
55960 p1 14474 42 100 r1 0.000882792
55960 p1 14474 42 100 r2 0.000728897
55960 p2 1861 42 100 r1 0.000892339
55960 p2 1861 42 100 r2 0.000712295
55960 p1 14474 43 100 r1 0.000893895
55960 p1 14474 43 100 r2 0.00067836
55960 p2 1861 43 100 r1 0.000878634
