"Region","Region Length","Total Length of Genes","Fraction of Region that is Coding"
"chr8",146364022,79534155,0.543399627266324
"nonPAR",147231524,58653704,0.398377347503378
"PAR1",2639519,985328,0.373298316852427
"PAR2",329516,174171,0.528566139428738
"XTR",5e+06,934266,0.1868532
