divergence	region	filter	div_ratio	region2	sites_compared	differences
0.430926067	PAR1	0 kb	1.368153185	PAR1/A	100223	32852.0
0.430422998	PAR1	1 kb	1.367618382	PAR1/A	99412	32558.0
0.431222944	PAR1	5 kb	1.372108214	PAR1/A	93171	30556.0
0.431323858	PAR1	10 kb	1.374727641	PAR1/A	87399	28668.0
0.431532921	PAR1	20 kb	1.379890007	PAR1/A	76433	25080.0
0.292108262	nonPAR	0 kb	0.927418598	X/A	24251907	5867556.0
0.291966265	nonPAR	1 kb	0.927688419	X/A	23326425	5641399.0
0.292419244	nonPAR	5 kb	0.930448744	X/A	20886167	5057641.0
0.29257787	nonPAR	10 kb	0.932512493	X/A	18818599	4558995.0
0.29343881	nonPAR	20 kb	0.938313768	X/A	15650913	3800708.0
0.309517993	XTR	0 kb	0.982692995	XTR/A	25974	6587.0
0.311276716	XTR	1 kb	0.989045104	XTR/A	22625	5764.0
0.314309123	XTR	5 kb	1.000100147	XTR/A	16973	4358.0
0.311138016	XTR	10 kb	0.991667916	XTR/A	12471	3176.0
0.340524228	XTR	20 kb	1.088876321	XTR/A	6054	1657.0
0.268413181	PAR2	0 kb	0.852188755	PAR2/A	25138	5672.0
0.264708476	PAR2	1 kb	0.841080006	PAR2/A	22884	5104.0
0.258158162	PAR2	5 kb	0.821433412	PAR2/A	16812	3672.0
0.262612067	PAR2	10 kb	0.837004635	PAR2/A	10954	2427.0
0.266619737	PAR2	20 kb	0.852555838	PAR2/A	7006	1572.0
0.314969166	chr8	0 kb	NA	blank	27326893	7028330.0
0.31472449	chr8	1 kb	NA	blank	25790220	6628959.0
0.314277649	chr8	5 kb	NA	blank	22961405	5895112.0
0.313752226	chr8	10 kb	NA	blank	20414915	5234269.0
0.312729941	chr8	20 kb	NA	blank	16537056	4228874.0
